,header_tokens,msg_tokens
3390,"['[', '2020-03-12', ' ', '20:54:48,046', ']', ' ', 'INFO']","[' ', 'Deleted', ' ', 'offset', ' ', 'index', ' ', '/data/appData/kafka/__consumer_offsets-49/00000000007987953491.index.deleted', '.', ' ', '(', 'kafka.log.LogSegment', ')']"
3391,"['[', '2020-03-12', ' ', '20:54:48,046', ']', ' ', 'INFO']","[' ', 'Deleted', ' ', 'time', ' ', 'index', ' ', '/data/appData/kafka/__consumer_offsets-49/00000000007987953491.timeindex.deleted', '.', ' ', '(', 'kafka.log.LogSegment', ')']"
3392,"['[', '2020-03-12', ' ', '20:55:38,965', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', 'hostAgentTopic-1', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Deleting', ' ', 'segment', ' ', '1171716', ' ', '(', 'kafka.log.Log', ')']"
3393,"['[', '2020-03-12', ' ', '20:55:38,966', ']', ' ', 'INFO']","[' ', 'Deleted', ' ', 'log', ' ', '/data/appData/kafka/hostAgentTopic-1/00000000000001171716.log.deleted', '.', ' ', '(', 'kafka.log.LogSegment', ')']"
3394,"['[', '2020-03-12', ' ', '20:55:38,966', ']', ' ', 'INFO']","[' ', 'Deleted', ' ', 'offset', ' ', 'index', ' ', '/data/appData/kafka/hostAgentTopic-1/00000000000001171716.index.deleted', '.', ' ', '(', 'kafka.log.LogSegment', ')']"
3395,"['[', '2020-03-12', ' ', '20:55:38,968', ']', ' ', 'INFO']","[' ', 'Deleted', ' ', 'time', ' ', 'index', ' ', '/data/appData/kafka/hostAgentTopic-1/00000000000001171716.timeindex.deleted', '.', ' ', '(', 'kafka.log.LogSegment', ')']"
3396,"['[', '2020-03-12', ' ', '21:01:09,317', ']', ' ', 'INFO']","[' ', '[', 'GroupMetadataManager', ' ', 'brokerId', '=', '1', ']', ' ', 'Removed', ' ', '0', ' ', 'expired', ' ', 'offsets', ' ', 'in', ' ', '0', ' ', 'milliseconds', '.', ' ', '(', 'kafka.coordinator.group.GroupMetadataManager', ')']"
3397,"['[', '2020-03-12', ' ', '21:07:38,965', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', 'hostAgentTopic-0', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Found', ' ', 'deletable', ' ', 'segments', ' ', 'with', ' ', 'base', ' ', 'offsets', ' ', '[', '1171838', ']', ' ', 'due', ' ', 'to', ' ', 'retention', ' ', 'time', ' ', '21600000ms', ' ', 'breach', ' ', '(', 'kafka.log.Log', ')']"
3398,"['[', '2020-03-12', ' ', '21:07:38,965', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', 'hostAgentTopic-0', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Scheduling', ' ', 'log', ' ', 'segment', ' ', '[', 'baseOffset', ' ', '1171838', ',', ' ', 'size', ' ', '25512103', ']', ' ', 'for', ' ', 'deletion', '.', ' ', '(', 'kafka.log.Log', ')']"
3399,"['[', '2020-03-12', ' ', '21:07:38,965', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', 'hostAgentTopic-0', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Incrementing', ' ', 'log', ' ', 'start', ' ', 'offset', ' ', 'to', ' ', '1176973', ' ', '(', 'kafka.log.Log', ')']"
3400,"['[', '2020-03-12', ' ', '21:08:38,965', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', 'hostAgentTopic-0', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Deleting', ' ', 'segment', ' ', '1171838', ' ', '(', 'kafka.log.Log', ')']"
3401,"['[', '2020-03-12', ' ', '21:08:38,967', ']', ' ', 'INFO']","[' ', 'Deleted', ' ', 'log', ' ', '/data/appData/kafka/hostAgentTopic-0/00000000000001171838.log.deleted', '.', ' ', '(', 'kafka.log.LogSegment', ')']"
3402,"['[', '2020-03-12', ' ', '21:08:38,967', ']', ' ', 'INFO']","[' ', 'Deleted', ' ', 'offset', ' ', 'index', ' ', '/data/appData/kafka/hostAgentTopic-0/00000000000001171838.index.deleted', '.', ' ', '(', 'kafka.log.LogSegment', ')']"
